,title,image,price,description
10,"Кимион семе мляно, Cuminum cyminum",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/8/289kimion-mlqn.jpg,"2,15 лв.","Кимионът представлява плодовете на растението Cuminum cyminum. Ароматът му е силен и топъл, дължащ се на високото съдържание на етерични масла, а вкусът му е горчив. В кулинарията се използва за овкусяване на кюфтета, кебапчета, колбаси, яхнии и бульони. Той е и една от основните съставки на кърито. Но освен като подправка, кимионът предоставя много ползи за здравето."
11,"Дафинов лист - за храносмилане и при лош дъх, Laurus nobilis",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/1/214-dafin.jpg,"1,80 лв.","Дафиновите листа се добиват от вечнозелен храст, който може да достигне височина 15 метра. Отглеждат за декоративна употреба, като листата се сушат и се използват в кулинарията. Най-често рецептите изискват сушени дафинови листа, които имат малко по-силен аромат от пресните. Дафиновият лист добавя прекрасен наситен аромат на ястията."
12,"Целина лист, Apium graveolens L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/5/0/501zelina-list.jpg,"1,52 лв.","Целината, позната още като Кервиз, е популярна подправка в българската кухня. Листата се използват за овкусяване на супи, зеленчукови и месни ястия, маринати и туршии. Повишава апетита. Улеснява храносмилането. Има диуретичен и антисептичен ефект."
13,"Бахар на зърна – Пимента, Pimenta officinalis L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/5/152bahar.jpg,"2,77 лв.","Бахарът е билка и подправка, която оставя своя характерен вкус в ястията, в които бива добавен. Отличава се с топъл вкус, чието основно ароматно съединение е евгенол, намиращ се също в карамфил."
14,"Слез лист с цвят, Malva sylvestris L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/6/467slez.jpg,"1,96 лв.","Преди откриването на синтетичните лекарства, лечебните билки представляват един от малкото инструменти, достъпни за лекарите по това време и сред многото билки, слезът със сигурност е една от най-използваните.
Чай от слез е деликатен натурален лек, но в същото време ефективен, за лечение на храносмилателни разстройства, дихателни заболявания, възпаления на пикочния мехур и много други."
15,"Естрагон лист, Artemisia dracunculus L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/3/232estragon.jpg,"2,78 лв.","Естрагонът, познат още като Тарос, е растение, което се използва като подправка в кулинарията и билка в народната медицина. Използва се за овкусяване на риба, яйца, сирена, картофи, задушени зеленчуци, гъби, дижонска горчица, макарони, паста, заешко месо. Улеснява дишането. Укрепва съня."
16,"Бабини зъби стрък с боздуганчета за потентност – Трибулус, Tribulus",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/5/150tribulus-herba.jpg,"1,73 лв.","Традиционно хората са използвали Бабини зъби за различни потенциални ефекти, включително за повишаване на либидото, поддържане на пикочните пътища здрави и намаляване на оток. Днес Tribulus terrestris е особено популярен като добавка за повишаване нивата на тестостерона. Но освен потенциалните му ефекти върху нивата на тестостерона, Трибулус терестрис има и други ползи за здравето."
17,"Звездовиден анасон плод, Illicium verum",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/4/247zvezd-anason.jpg,"3,89 лв.","Звездовидният анасон е ароматно вечнозелено дърво от семейство Illiciaceae. Плодовете му имат сладникав вкус и характерен наситен аромат. Те са с красива звездовидна форма. Използва се като подправка за овкусяване на редица месни и зеленчукови ястия, дребни сладки, а също така е и основна съставка на греяното вино."
18,"Глог лист с цвят - Червен, Crataegus monogyna",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/0/203glog-list.jpg,"2,02 лв.","В продължение на стотици години хората са използвали плодовете от глог като билково лекарство за храносмилателни проблеми, сърдечни проблеми и високо кръвно налягане. Успокоява нервната система. Действа хипотензивно, като засилва сърдечните съкращения. Подобрява кръвоснабдяването на сърцето и мозъка."
19,"Вратига стрък с цвят – Танацетум, Tanacetum vulgare L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/9/192vratiga-strak.jpg,"2,33 лв.","Външно вратигата се използва като лапа при отоци, навяхвания, подагра, контузии и някои еруптивни кожни заболявания, както и за унищожаване на въшки и бълхи."
20,"Копитник стрък с корен - при алкохолизъм и тютюнопушене, Asarum europaeum L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/9/298kopitnik.jpg,"5,66 лв.","Копитникът има дълга история като лечебна билка, датираща от времето на древните гърци. Днес билката се използва само в стандартизирана форма за лечение на бронхит, ларингит, астма, силикоза, кашлица, свързана с тютюнопушенето и хроничен алкохолизъм."
21,"Ранилист стрък, Betonica officinalis",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/3/436ranilist-str.jpg,"2,32 лв.",Билката Ранилист възбужда апетита и подобрява храносмилането. Има общоукрепващо действие.
22,"Анасон семе, Pimpinella anisum L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/1/b141conf.jpg,"1,88 лв.","Анасонът, наричан още анасоново семе или Pimpinella anisum, е растение, което произхожда от същото семейство като морковите, целината и магданоза. Има характерен вкус и аромат. Често използвана подправка към дребни сладки, месни и зеленчукови ястия. 
Освен като подправка, анасонът има редица ползи за здравето."
23,"Ехинацея стрък с цвят, Echinacea purpurea",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/e/c/echinacea_strak.jpg,"2,78 лв.","Ехинацеята е една от най-изследваните и проучени билки и е доказано, че има много ценни лечебни свойства. Билката е силен природен имуностимулатор и мощен антиоксидант."
24,"Кориандър семе цяло, Coriandrum sativum",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/0/306koriandar-seme.jpg,"1,25 лв.","Кориандърът е подправка с приятен лимонов вкус и флорален аромат. За овкусяване на супи, сосове, дресинги, маринати и месни ястия. Газогонно и стимулиращо храносмилането средство."
25,"Червен Риган стрък с цвят, Origanum vulgare L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/4/442rigan-cherven.jpg,"2,22 лв.","Риганът е ароматна билка и подправка, известна с невероятния вкус и аромат, които придава на ястията и със страхотните ли лечебни качества."
26,"Глухарче стрък с лист, Taraxacum officinale L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/0/206gluharche-strak.jpg,"2,68 лв.","Най-мощните лекарства са тези, които растат под краката ни! Глухарчето е една от най-старите документирани лечебни билки с много лечебни свойства. Препоръчва се за лечение на анемия, авитаминоза С, атеросклероза, диабет и кожни болести."
27,"Куркума корен на прах – Турмерик, Curcuma longa",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/2/12345.jpg,"1,78 лв.","Щипка слънце във всяка чиния! Куркумата придава неповторим цвят, вкус и аромат на всяко ястие. Тонизира организма, улеснява храносмилането и има антисептично действие. Действа благоприятно при възпаление на жлъчката, както и при диабет."
28,"Мате чай лист - Зелено, Бразилия, Ilex Paraguariensis",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/5/4/543mate-green.jpg,"2,10 лв.","Yerba mate - една чудесна и здравословна алтернатива на кафето и сигурен източник за вашето добро настроение. Води до най-качествения сън, ободрява мозъка и тялото, създава настроение и е чудесен източник на хранителни вещества."
29,"Бяла бреза цели пъпки, Betula pendula",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/a/baza.jpg,"5,76 лв.","Брезовите пъпки (Gemmae Betulae) се използват широко в руската и китайската традиционна медицина, главно като диуретично и потогонно средство, но също и като антисептично, противовъзпалително и аналгетично средство."
30,"Гуарана цяло семе - за отслабване, Paullinia cupana",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/1/211guarana-ne.jpg,"6,04 лв.","Естествен заместител на кафето, съдържа кофеин в по-усвояема форма от него. Основните предимства на гуарана включват способността й да детоксикира тялото, да потиска апетита, да засилва сексуалното желание и да защитава сърцето, наред с много други."
31,"Сурово тиквено семе - белено, Cucurbita рeрo L., насипно",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/8/483tikveno-seme_1.jpg,"10,04 лв.","Богата и ценна добавка към една пълноценна закуска, тиквените семки могат да бъдат неразделна част от вашето здравословно хранене."
32,"Калуна ронен цвят и стрък, Calluna vulgaris",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/k/a/kaluna.jpg,"3,38 лв.","Калуна - красиво цвете, но и лековита билка с мощни ползи за здравето. Изключително полезна при артрит, подагра, ревматизъм. Прекрасен диуретик, който ""потушава"" възпаление, пясък и камъни в бъбреците и пикочния мехур. Чай от Калуна помага при бронхиална астма, упорита кашлица и възпалителни заболявания на дихателните пътища."
33,"Златен корен на прах – Родиола, Rhodiola Rosea",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/5/5/552rodiola-pwd.jpg,"5,30 лв.","Златният корен е мощен адаптоген, което означава, че помага на тялото ви да се адаптира към стреса. Доказано е също, че подобрява симптомите на бърнаут, който може да възникне при хроничен стрес. Адаптогенната природа на Златният корен го прави популярна добавка за борба с умората и други симптоми, свързани със стреса."
34,"Нар кора от плод - при паразити и разстройство, Punica granatum",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/7/378nar-kora.jpg,"2,42 лв.","Плодът на Боговете! Нарът е вкусен и полезен плод с редица лечебни свойства. Чай от кора на нар помага при разстройство и прочиства организма от паразити. Успешно понижава температурата, а и е добра напитка за диабетици. Купи Нар кора плод на ниска цена."
35,"Ортосифон стрък рязан – Бъбречен чай, Orthosiphon stamineus",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/9/395.jpg,"4,38 лв.","Ортосифон, познат още като Котешки мустачки, Джава чай и Бъбречен чай, е лечебна билка, използвана в традиционната народна медицина. 
Проявява антимикробно, антиоксидантно, хепатопротективно, антиплазмодиално, цитотоксично, кардиопротективно, антидиабетно и противововъзпалително действие."
36,"Залист корен – Див чемшир, външно при разширени вени и хемороиди, Ruscus aculeatus",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/4/246zalist3.jpg,"3,62 лв.","Билката Бодлив залист, познат още като Див чемшир и Миши трън, е широко използвана в древността и е описана през 1-ви век от гръцкия лекар Диоскоридес, като средство за стимулиране отделянето на урина и при менструално кървене. Също така се смята за полезна билка при лечение на камъни в пикочния мехур, жълтеница и главоболие."
37,"Зелен пипер на зърна, Piper nigrum, насипно",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/0/409piper-zelen.jpg,"4,04 лв.","Зеленият пипер има изключително ароматен и много лек пикантен вкус. Той стимулира лигавицата на стомаха и апетита. Има жлъчегонен ефект. Стимулира кръвообращението. Зеленият пипер се счита за ""храна-афродизиак"" - повишава либидото."
38,"Ратания корен рязан, Krameria",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/3/b343conf.jpg,"6,29 лв.",Коренът на Ратания се използва широко в народната медицина. Чай на базата на него отдавна се използва в Андите за облекчаване на възпалението на стомашно-чревния тракт и като стягащо средство при диария.
39,"Кимион семе цяло, Cuminum cyminum",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/9/290kimion-all.jpg,"2,15 лв.","Кимионът представлява плодовете на растението Cuminum cyminum. Ароматът му е силен и топъл, дължащ се на високото съдържание на етерични масла, а вкусът му е горчив. В кулинарията се използва за овкусяване на кюфтета, кебапчета, колбаси, яхнии и бульони. Той е и една от основните съставки на кърито. Но освен като подправка, кимионът предоставя много ползи за здравето."
40,"Памуклийка лист и цвят - нарязана билка, Cistus Incanus",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/p/a/pamukliika_8.jpg,"3,07 лв.",Ценните ѝ съставки се комбинират с приятния вкус на чая. Не се страхувайте от грипа.
41,"Лопен лист с цвят, Verbascum phlomoides L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/4/340lopen-zv-l.jpg,"2,14 лв.","В продължение на много десетилетия, народни лечители са използвали лопенът като лекарство. Лопенът има противовъзпалителни, болкоуспокояващи и отхрачващи свойства. Различните части на растението се използва при лечение на заболявания на горните дихателни пътища, като магарешка кашлица и бронхит. Лопенът помага при пневмония."
42,"Годжи Бери плод – Лиций, Lycium Barbarum, насипно",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/5/4/541godji.jpg,"5,52 лв.","Истинска витаминозна бомбичка! Годжи Бери пречиства организма от токсични вещества. Полезна билка за черния дроб, бъбреците, очите. Подсилва организма и дава енергия."
43,"Шлемник Байкалски стрък рязан, Scutellaria baicalensis",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/s/c/scutellaria.jpg,"12,59 лв.","Шлемник Байкалски има благоприятно лечебно действие върху сърдечно-съдовата система, централната нервна система, антиоксидантно, имуностимулиращо действие и благоприятно при имунни заболявания."
44,"Женшен корен на прах - Бразилски, Сума, Pfaffia paniculata (Sell out)",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/2/429pfafia.jpg,"9,25 лв.",Бразилският женшен подобрява хормоналния баланс. Намалява възпаленията. Подобрява имунитета. Повишава либидото. Има подмладяващ ефект.
45,"Мате чай лист - Печено, Южна Америка, Ilex Paraguariensis",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/5/4/544mate-pecheno.jpg,"2,66 лв.","Печеното Мате има плътен вкус на печени ядки с гладки карамелени нотки като черен чай. Ако ви харесва черен чай или кафе, трябва да опитате този невероятен чай. Засилва имунната система, намалява стреса,  стимулира мисловните процеси, пречиства от токсини, нормализира кръвното налягане."
46,"Куркума Лонга цял корен - за готвене, Turmeric, Curcuma longa",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/1/315kurkuma-all-root.jpg,"1,97 лв.","Куркумата се използва се в Индия от хиляди години като подправка и лечебна билка. Напоследък науката започна да подкрепя традиционните твърдения, че куркумата съдържа съединения с лечебни свойства. Тези съединения се наричат ​​куркуминоиди. Най-важният е куркуминът."
47,"Червен кантарион стрък, Centaurium erythraea Rafn",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/7/278kantar-cherv-herba.jpg,"2,58 лв.","Червеният кантарион се смята за страхотен стомашен тоник, който може да помогне при стомашно-чревни смущения и да засили стомашната функция, когато се приема преди хранене. Помага за стимулиране на стомашната секреция. Има силен горчив вкус, който помага при киселини, газове в червата и стомаха, подуване на корема, запек и колики."
48,"Роза маслодайна цвят - Розова, Rosa damascena",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/4/b444.jpg,"4,66 лв.","Чист цвят от българска ароматна роза Дамасцена! Прекрасен ароматен и вкусен нежен чай от розов цвят, който може да се употребява самостоятелно или в комбинация с други билки. За телесен и духовен балсанс."
49,"Смрадлика лист – Тетра, Cotinus coggygria Scop.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/4/b473_1_1.jpg,"1,66 лв.","﻿Смрадликата, позната още като Тетра, е една от най-добре познатите билки в България. Растението често се използва в традиционната медицина, където се разглежда като антисептично, противовъзпалително, антимикробно и антихеморагично средство за използване при заздравяване на рани."
50,"Блатен тъжник корен рязан — Спирея, Spiraea ulmaria L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/1/5/153spirea-root.jpg,"3,22 лв.","В традиционната медицина, Блатният тъжник се използва за лечение на киселини, стомашни язви, настинки, болки в ставите, артрит и подагра. Също така се прилага като диуретик за увеличаване на отделянето на урина при хора с инфекции на бъбреците или пикочния мехур."
51,"Синя метличина цвят, Centaurea cyanus L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/m/e/metlichina-2.jpg,"5,56 лв.","Метличината, наричана още Полски синчец, е цвете от семейството на Маргаритките, отличаващо се със своите ярко сини цветове. Препоръчва се при безапетитие, лошо храносмилане, магарешка кашлица, ангина, възпаление на бъбреците, чернодробни и жлъчни заболявания, възпаление на очите."
52,"Псилиум, Черен Хуск Фибри – семена от Индийски живовлек, Psyllium Nigrum Husk",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/5/b521conf.jpg,"2,93 лв.","Черния псилиум е растение, чиито семена се използват като ефективен метод за лечение и предотвратяване на запек. Използва се още при диария, затлъстяване, диабет, за намаляване на риска от чернодробни и сърдечни заболявания."
53,"Черен орех обвивка, Juglans nigrum",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/5/3/535black-wallnut.jpg,"4,57 лв.",Обвивката на черния орех е благоприятна за елиминиране на гъбички и паразити в тялото и за набавяне на йод в организма.
54,"Лайка цвят екстра - при бронхиални проблеми и гастрит, Matricaria chamomilla",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/2/327laika-zvqt_1__5.jpg,"2,29 лв.","Лайката се използва се от векове като естествен лек за някои здравословни състояния. 
Най-често лайката се употребява под формата на вкусен и ароматен чай. Много хора се наслаждават на чая от лайка като алтернатива без кофеин на черния или зеления чай и заради неговия земен, донякъде сладък вкус."
55,"Шафран на прах – Заферано, Zafferano, Crocus sativus, различни грамажи",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/6/b602-shafran-smlian_6.jpg,"11,09 лв.","Шафранът е ценна подправка с високо съдържание на антиоксиданти. Шафранът се добива от близалцата на вид минзухар - Crocus sativus. След разцъфване, преди слънцето да се издигне високо, тичинките се събират на ръка и близалцата внимателно се събират и се сушат."
56,"Куркума Лонга корен на прах - екстра качество, Turmeric, Curcuma longa",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/5/9/595curcuma-longa-2.jpg,"2,16 лв.","Куркумата е подправка с топъл аромат и пикантен топъл вкус. Тонизира организма, улеснява храносмилането и има антисептично действие. Притежава силно противовъзпалително действие. С положителен ефект върху ставите."
57,"Алое Кейп Кристали на прах, Aloe Cape",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/b/6/b623conf.jpg,"5,38 лв.","Алое може да помогне за облекчаване на стомашно-чревните проблеми и укрепване на вашата имунна система. Алое Кейп е естествена добавка, която се добива от Горчиво Алое. Алое е особено ефективно при запек като улеснява изхождането."
58,"Иглика цвят, Primula veris L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/5/257iglika-zv.jpg,"14,52 лв.","Игликата е едно от най-добре познатите пролетни цветя. Отличава се със прекрасен ""слънчев"" цвят и сладникаво ухаещи цветове. Но освен красиво цвете, игликата е и изключително лечебно растение, използвано за производството на билкови чайове и препарати с антиоксидантно и отхрачващо действие."
59,"Пача трева стрък,  Polygonum aviculare L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/4/0/404pacha-treva.jpg,"1,58 лв.","Билката Пача трева, макар и слабо позната, има невероятни ползи за здравето. Традиционно се използва като средство за лечение на белодробна туберкулоза и хроничен бронхит. Помага и при бъбречни заболявания, глисти, дизентерия, хронична умора, гингивит, сърдечни заболявания."
60,"Лопен цвят, Verbascum phlomoides L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/l/o/lopen-zvqt.jpg,"8,26 лв.","В продължение на много десетилетия, народни лечители са използвали лопенът като лекарство. Лопенът има противовъзпалителни, болкоуспокояващи и отхрачващи свойства. Различните части на растението се използва при лечение на заболявания на горните дихателни пътища, като магарешка кашлица и бронхит. Лопенът помага при пневмония."
61,"СТАФИДА ТЪМНА , СУШЕНА , Vitus vinifera",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/s/t/stafida.jpg,"2,68 лв.","Стафидите съдържат голямо количество антиоксиданти,витамин С, но с по-ниско съдържание на витамин С, в сравнение с прясното грозде."
62,"Мента лист – ментов чай,  Mentha piperita L.",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/m/e/menta-list.jpg,"1,66 лв.","Ментата е популярна ароматна билка и подправка по целия свят. Ментата може да облекчи разстроен стомах, а в някои случаи облекчава симптомите на синдрома на раздразнените черва (IBS). Чаят от мента е често срещано средство за облекчаване на симптомите на настинка и грип."
63,"Лавандула сух цвят, Lavandula angustifolia Mill",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/2/324lavandula.jpg,"2,68 лв.","Лавандулата е красиво растение, което пленява със своята красота и ухание. Но освен своята красота, тя има и различни ползи за здравето.
Помага при тревожност, стрес, безсъние. Успокоява ума."
64,"Очанка стрък, Euphrasia officinalis",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/9/397.jpg,"4,30 лв.","Както говори нейното име, основните ползи на билката са относно здравето на очите. Може би най-забележителната й способност е да лекува конюктивит и зачервено око. Билката Очанка е известна с употребата си при лечение на проблеми, свързани с очите, както и за забавяне на прогресивно отслабване на зрението поради възрастта (катаракта)."
65,"Гинко Билоба лист, Ginkgo Biloba",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/2/0/200ginko.jpg,"2,88 лв.","Гинко Билоба се счита за билка, която удължава младостта. Естествен енергиен тоник! Позволява ви да имате ""бистра глава"". Увеличава издръжливостта на тялото като цяло."
66,"Кръвен здравец рязан корен, Geranium sanguineum",https://bilki.bg/media/catalog/product/cache/1/small_image/200x200/4a7b379f08b37ce157de1b71c34b2dde/3/1/312kraven-zdravez.jpg,"4,58 лв.","Благодарение на високото съдържание на танини, Кръвният здравец притежава както стягащи, така и антисептични свойства. Също така, билката е и диуретично, кръвоспиращо, имуностимулиращо и тонизиращо средство."
